Ano,Semana,Usuarios AM
2022,2,285
2022,3,339
2022,4,594
2022,5,719
2022,6,821
2022,7,853
2022,8,796
2022,9,814
2022,10,799
2022,11,866
2022,12,856
2022,13,678
2022,14,854
2022,15,799
2022,16,183
2022,17,836
2022,18,819
2022,19,801
2022,20,821
2022,21,868
2022,22,847
2022,23,682
2022,24,834
2022,25,797
2022,26,572
2022,27,490
2022,28,643
2022,29,829
2022,30,648
2022,31,863
2022,32,833
2022,33,803
2022,34,656
2022,35,802
2022,36,815
2022,37,827
2022,38,792
2022,39,826
2022,40,747
2022,41,802
2022,42,761
2022,43,609
2022,44,818
2022,45,805
2022,46,634
2022,47,649
2022,48,834
2022,49,786
2022,50,526
2022,51,796
2022,52,574
2022,53,332
2023,1,360
2023,2,352
2023,3,664
2023,4,768
2023,5,853
2023,6,853
2023,7,830
2023,8,831
2023,9,852
2023,10,878
2023,11,867
2023,12,650
2023,13,828
2023,14,365
2023,15,831
2023,16,863
2023,17,875
2023,18,669
2023,19,829
2023,20,838
2023,21,682
2023,22,914
2023,23,771
2023,24,750
2023,25,630
2023,26,784
2023,27,629
2023,28,791
2023,29,555
2023,30,829
2023,31,814
2023,32,654
2023,33,859
2023,34,657
2023,35,843
2023,36,806
2023,37,824
2023,38,854
2023,39,806
2023,40,822
2023,41,856
2023,42,646
2023,43,839
2023,44,810
2023,45,637
2023,46,630
2023,47,747
2023,48,753
2023,49,509
2023,50,688
2023,51,712
2023,52,434
2024,1,236
2024,2,298
2024,3,584
2024,4,650
2024,5,697
2024,6,636
2024,7,803
2024,8,793
2024,9,785
2024,10,299
2024,11,684
2024,12,655
2024,13,168
2024,14,672
